pid,pid_name
0001142B,Arbiter Systems, Inc.
00017778,Counterfeit flash drive [Kingston]
00535301,GW-US54ZGL 802.11bg
00790006,Generic USB Joystick
00790011,Gamepad
0105145F,NW-3100 802.11b/g 54Mbps Wireless Network Adapter [zd1211]
01450112,Card Reader
017C145F,Trust Deskset
02046025,CBM2080 Flash drive controller
02046026,CBM1180 Flash drive controller
02180301,MIDI Port
02AD138C,PVR Mass Storage
0324BC06,OCZ ATV USB 2.0 Flash Drive
0324BC08,OCZ Rally2/ATV USB 2.0 Flash Drive
0325AC02,ATV Turbo / Rally2 Dual Channel USB 2.0 Flash Drive
03860001,PSX for USB Converter
03D90499,SE340D PC Remote Control
03DA0002,HD44780 LCD interface
03E80004,SE401 Webcam
03E80008,101 Ethernet [klsi]
03E80015,ATAPI Enclosure
03E82123,SiPix StyleCam Deluxe
03E88004,Aox 99001
03EB0902,4-Port Hub
03EB2002,Mass Storage Device
03EB2015,at90usbkey sample firmware (HID keyboard)
03EB2018,at90usbkey sample firmware (CDC ACM)
03EB2019,stk525 sample firmware (microphone)
03EB201C,at90usbkey sample firmware (HID mouse)
03EB201D,at90usbkey sample firmware (HID generic)
03EB2022,at90usbkey sample firmware (composite device)
03EB2040,LUFA Test PID
03EB2041,LUFA Mouse Demo Application
03EB2042,LUFA Keyboard Demo Application
03EB2043,LUFA Joystick Demo Application
03EB2044,LUFA CDC Demo Application
03EB2045,LUFA Mass Storage Demo Application
03EB2046,LUFA Audio Output Demo Application
03EB2047,LUFA Audio Input Demo Application
03EB2048,LUFA MIDI Demo Application
03EB2049,Stripe Snoop Magnetic Stripe Reader
03EB204A,LUFA CDC Class Bootloader
03EB204B,LUFA USB to Serial Adapter Project
03EB204C,LUFA RNDIS Demo Application
03EB204D,LUFA Combined Mouse and Keyboard Demo Application
03EB204E,LUFA Dual CDC Demo Application
03EB204F,LUFA Generic HID Demo Application
03EB2060,Benito Programmer Project
03EB2061,LUFA Combined Mass Storage and Keyboard Demo Application
03EB2062,LUFA Combined CDC and Mouse Demo Application
03EB2063,LUFA Datalogger Device
03EB2064,Interfaceless Control-Only LUFA Devices
03EB2065,LUFA Test and Measurement Demo Application
03EB2066,LUFA Multiple Report HID Demo
03EB2068,LUFA Virtual Serial/Mass Storage Demo
03EB2069,LUFA Webserver Project
03EB2103,JTAG ICE mkII
03EB2104,AVR ISP mkII
03EB2105,AVRONE!
03EB2106,STK600 development board
03EB2107,AVR Dragon
03EB2109,STK541 ZigBee Development Board
03EB210D,XPLAIN evaluation kit (CDC ACM)
03EB2122,XMEGA-A1 Explained evaluation kit
03EB2310,EVK11xx evaluation board
03EB2FE4,ATxmega32A4U DFU bootloader
03EB2FFB,at90usb AVR DFU bootloader
03EB2FFD,at89c5130/c5131 DFU bootloader
03EB2FFF,at89c5132/c51snd1c DFU bootloader
03EB3301,at43301 4-Port Hub
03EB3312,4-Port Hub
03EB4102,AirVast W-Buddie WN210
03EB5601,at76c510 Prism-II 802.11b Access Point
03EB5603,Cisco 7920 WiFi IP Phone
03EB6119,AT91SAM CDC Demo Application
03EB6124,at91sam SAMBA bootloader
03EB6127,AT91SAM HID Keyboard Demo Application
03EB6129,AT91SAM Mass Storage Demo Application
03EB6200,AT91SAM HID Mouse Demo Application
